fecha,maquina,unidades_producidas,unidades_defectuosas,temperatura_c,pct_defectos
2026-09-01,M-01,1014,19,33.2,1.8737672583826428
2026-09-01,M-02,1105,17,32.3,1.5384615384615385
2026-09-01,M-03,893,56,37.4,6.270996640537514
2026-09-02,M-01,962,17,31.1,1.7671517671517671
2026-09-02,M-02,973,6,31.4,0.6166495375128468
2026-09-02,M-03,961,48,36.2,4.994797086368366
2026-09-03,M-01,1094,31,33.8,2.83363802559415
2026-09-03,M-02,1056,16,33.1,1.5151515151515151
2026-09-03,M-03,834,51,39.4,6.115107913669065
2026-09-04,M-01,870,16,32.9,1.839080459770115
2026-09-04,M-02,1014,12,31.0,1.183431952662722
2026-09-04,M-03,1072,59,36.3,5.503731343283582
2026-09-05,M-01,954,11,32.4,1.1530398322851152
2026-09-05,M-02,1030,14,29.9,1.3592233009708738
2026-09-05,M-03,1075,62,39.2,5.767441860465116
2026-09-06,M-01,1042,26,32.8,2.495201535508637
2026-09-06,M-02,1053,12,32.6,1.1396011396011396
2026-09-06,M-03,918,52,36.7,5.664488017429194
2026-09-07,M-02,954,8,31.2,0.8385744234800839
2026-09-07,M-03,1052,78,36.2,7.41444866920152
2026-09-08,M-01,921,9,34.2,0.9771986970684038
2026-09-08,M-02,1014,16,33.0,1.5779092702169626
2026-09-08,M-03,1103,45,38.8,4.0797824116047146
2026-09-09,M-01,1010,13,34.4,1.2871287128712872
2026-09-09,M-02,973,25,30.4,2.5693730729701953
2026-09-09,M-03,931,53,37.7,5.692803437164339
2026-09-10,M-01,975,11,33.9,1.1282051282051282
2026-09-10,M-02,1125,-4,31.6,-0.35555555555555557
2026-09-10,M-03,1099,63,38.3,5.7324840764331215
2026-09-11,M-01,985,17,32.1,1.7258883248730965
2026-09-11,M-02,1015,8,31.7,0.7881773399014778
2026-09-11,M-03,788,44,36.2,5.583756345177665
2026-09-12,M-01,1050,16,32.7,1.5238095238095237
2026-09-12,M-02,1016,7,31.4,0.6889763779527559
2026-09-12,M-03,933,56,37.1,6.002143622722401
2026-09-13,M-01,903,24,31.8,2.6578073089700998
2026-09-13,M-02,927,0,31.4,0.0
2026-09-13,M-03,827,51,36.1,6.166868198307134
2026-09-14,M-01,1083,33,32.3,3.0470914127423825
2026-09-14,M-02,935,18,30.3,1.9251336898395723
2026-09-14,M-03,934,55,36.0,5.8886509635974305
2026-09-15,M-01,1117,28,35.3,2.5067144136078783
2026-09-15,M-02,1009,22,31.1,2.180376610505451
2026-09-15,M-03,1098,70,35.3,6.375227686703097
